Prompt Number,Prompt,Challenge Category,,
Class09_Img04_Prompt02,Change the style to a pattern,"CHANGE, STYLE TRANSFER",,
Class09_Img04_Prompt03,Change from color to Black and white,"CHANGE, LANDSCAPE",,
Class09_Img04_Prompt04,Add a walrus in the water,"ADDITION, SPECIFIC OBJECT, SPECIFIC DETAIL, SPECIFIC POSITION",,
Class09_Img04_Prompt05,Change the image to antarctica,"CHANGE, IMAGE",,
Class09_Img05_Prompt01,Change the style to a abstract art,"CHANGE, STYLE TRANSFER",,
Class09_Img05_Prompt02,Change the style to a pattern,"CHANGE, STYLE TRANSFER",,
Class09_Img05_Prompt03,Change from color to Black and white,"CHANGE, LANDSCAPE",,
Class09_Img05_Prompt04,Add a walrus at the bottom right corner,"ADDITION, SPECIFIC OBJECT, SPECIFIC DETAIL, SPECIFIC POSITION",,
Class09_Img05_Prompt05,Change the image to a swamp,"CHANGE, IMAGE",,
Class010_Img01_Prompt01,Change the buns to birthday cakes,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL, MULTIPLE OBJECTS",,
Class010_Img01_Prompt02,Change the plate to a golden plate,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class010_Img01_Prompt03,Add 2 more buns,"ADDITION, SPECIFIC OBJECT, COUNT, MULTIPLE OBJECTS",,
Class010_Img01_Prompt04,Change the bun to a plate full of apple pie,"CHANGE, ENTIRE OBJECT-RELEVANT,  MULTIPLE OBJECTS",,
Class010_Img01_Prompt05,Change the style of the picture into a DeviantArt,"CHANGE, STYLE TRANSFER",,
Class010_Img02_Prompt01,Change the donuts into Vada,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL, MULTIPLE OBJECTS",,
Class010_Img02_Prompt02,Change the table golden in color,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class010_Img02_Prompt03,Add 3 more donuts around the donuts in the picture,"ADDITION, SPECIFIC OBJECT, COUNT, MULTIPLE OBJECTS",,
Class010_Img02_Prompt04,Change the donut into a big birthday cake in vanilla and strawberry flavours.,"CHANGE, ENTIRE OBJECT-RELEVANT,  MULTIPLE OBJECTS",,
Class010_Img02_Prompt05,Change the style of the picture into a DeviantArt,"CHANGE, STYLE TRANSFER",,
Class010_Img03_Prompt01,Change the chips into spaghetti,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL, MULTIPLE OBJECTS",,
Class010_Img03_Prompt02,Change the plate to a golden plate,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class010_Img03_Prompt03,Add some more chips on the top,"ADDITION, SPECIFIC OBJECT, COUNT, MULTIPLE OBJECTS",,
Class010_Img03_Prompt04,Change the food to a plate full of indian breakfast,"CHANGE, ENTIRE OBJECT-RELEVANT,  MULTIPLE OBJECTS",,
Class010_Img03_Prompt05,Change the style of the picture into a DeviantArt,"CHANGE, STYLE TRANSFER",,
Class010_Img04_Prompt01,Change the chocolate chip cookies into strawberry flavoured cookies,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL, MULTIPLE OBJECTS",,
Class010_Img04_Prompt02,Change the plate to a golden plate,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class010_Img04_Prompt03,Add 4 more cookies at the top,"ADDITION, SPECIFIC OBJECT, COUNT, MULTIPLE OBJECTS",,
Class010_Img04_Prompt04,Change the cookies to a plate full of apple pie,"CHANGE, ENTIRE OBJECT-RELEVANT,  MULTIPLE OBJECTS",,
Class010_Img04_Prompt05,Change the style of the picture into a DeviantArt,"CHANGE, STYLE TRANSFER",,
Class010_Img05_Prompt01,Change the tea to beer,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class010_Img05_Prompt02,Give glass cup a pinkish tint,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
Class010_Img05_Prompt03,Add another similar cup at the back of the one in the image. The cup should have a blue straw,"ADDITION, SPECIFIC OBJECT, COUNT",,
Class010_Img05_Prompt04,Change the tea to a chocolate milk shake with almonds floating,"CHANGE, ENTIRE OBJECT-RELEVANT",,
Class010_Img05_Prompt05,Change the style of the picture into a DeviantArt,"CHANGE, STYLE TRANSFER",,
